Client Code,Client Name,Payee Code,Payee Name,Song Code,Song Title,Composers,Source Code,Source Name,Income Type,Income Type Name,Main Income Type Name,Catalogue No ,Units,Income Period,Percentage Collected by BMG,Amount Collected,Royalty Payout Percentage,Royalty Payable,Domestic Or Foreign Source Indicator,Foreign Source,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Artist,ISRC,Album Or Production,Episode,License Number,Original Source As Received,Original Source
131337,Apache Music (PM),131337,Apache Music (PM),6095931,Summer Ride,Cousins,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.53,50,0.27,F,AdRev,26,538,USA,United States of America,"John Samuel Hanson, BMI|Jeffrey Fayman, ASCAP|Yoav Goren, BM",QMSTJ1100993,1RM012 Tender & Romantic 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,46,TV Performance,Performance,,3,202507202512,0,1.99,50,1,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108496,Overmorrow,Groves,PRCM,Prion Music Publishing,5,Synchronization,Sync.,,0,202501202506,50,0.01,50,0.01,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,YES SATELLITE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6167025,Industrial Rainfall,Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.28,50,0.14,F,AdRev,26,538,USA,United States of America,Thomas Trueman (PRS),GX5CJ2100385,APA062 INDUSTRIAL BEATS VOL.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088865,Realignment,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,0.04,50,0.02,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,NETFLIX,Netflix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6166852,Creepy Hollow,Groves,MCPS,MCPS,35,Streaming Mechanical,Digital/New Media,,0,202403202403,100,0.01,50,0.01,D,,26,322,GBR,United Kingdom,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088447,Melonhead,Coupe/Downes,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,0.08,50,0.04,F,AdRev,26,276,USA,United States of America,"Mark Coupe, PRS|Eamon Downes, PRS",GX5CJ2100050,APA009 RETRORAVE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108496,Overmorrow,Groves,PRCM,Prion Music Publishing,5,Synchronization,Sync.,,0,202501202506,50,0.01,50,0.01,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,CABLE TV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),7165841,The First Odyssey,Coupe,MUTK,Muzikotek,1,Mechanicals,Mechanical,,0,202510202512,0,1.25,50,0.63,F,Muzikotek,26,735,TUR,Turkey,,,DRIVE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6071045,First Light,Tenku,MCUB,Mediacube,4,Performance,Performance,,0,202507202512,0,0.13,50,0.07,F,Mediacube,26,821,KOR,Republic of Korea,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088447,Melonhead,Coupe/Downes,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.01,50,0.01,F,AdRev,26,538,USA,United States of America,"Mark Coupe, PRS|Eamon Downes, PRS",GX5CJ2100050,APA009 RETRORAVE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095931,Summer Ride,Cousins,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,6,202601202601,0,0.01,50,0.01,F,AdRev,26,382,USA,United States of America,One Revolution - Immediate Music,QMSTJ1100996,1RM012 Tender & Romantic 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088733,Perpetual Emotion,Groves,MCPS,MCPS,1,Mechanicals,Mechanical,TOP GEAR (2002),0,202501202506,100,5.88,50,2.94,D,,25,3568,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095602,Mystic Chill,Thomas,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.1,50,0.05,F,AdRev,26,538,USA,United States of America,"Robert Thomas, PRS",GX5CJ2100327,APA053 SERVE CHILLED,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,46,TV Performance,Performance,,3,202507202512,0,0.32,50,0.16,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6088196,Kickers,Coupe/Downes,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,0.02,50,0.01,F,AdRev,26,276,USA,United States of America,Michael Reynolds,QMG491722754,VT001 Retro 1950s TV Music Vol. 1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6096167,Woven,Thomas/Trueman,KONG,Konga                               -for,57,Neighboring Rights,Performance,,0,202507202512,0,0.01,50,0.01,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6071315,Hyperspeed,Tenku,MCUB,Mediacube,4,Performance,Performance,,0,202507202512,0,0.01,50,0.01,F,Mediacube,26,821,KOR,Republic of Korea,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087893,Half Way Thru,Coupe/Downes,MCPS,MCPS,11,Mech. Performance,Mechanical,236970425002,1,202507202509,100,0.47,50,0.24,D,,26,230,GBR,United Kingdom,,,LOVE ISLAND EP 37 SERIES 9,,,ITV STUDIOS GLO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),7085611,In A Heartbeat,James,KONG,Konga                               -for,46,TV Performance,Performance,,3,202507202512,0,2.84,50,1.42,F,Konga Music,26,820,ESP,Spain,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087739,Formation,Groves,MCPS,MCPS,1,Mechanicals,Mechanical,TOP GEAR (2002),0,202501202506,100,1.45,50,0.73,D,,25,3568,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6089795,What You On?,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,3.31,50,1.66,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,YES VOD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087119,Chromosphere,Coupe/Downes,PRCM,Prion Music Publishing,46,TV Performance,Performance,,0,202501202506,50,0.32,50,0.16,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,NETFLIX,Netflix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087478,Echobank,Coupe/Downes,PRCM,Prion Music Publishing,5,Synchronization,Sync.,,0,202501202506,50,0.02,50,0.01,F,Prion Music Publishi,26,651,ISR,Israel,,,,,,CABLE TV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6210695,Nature Trails,Hogston,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.01,50,0.01,F,AdRev,26,538,USA,United States of America,Edward Hogston (PRS),GX5CJ2101129,APA075 THE GENTLE FOLK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6070851,Drifter,Trueman,MCPS,MCPS,43,Video Streaming Perf,Digital/New Media,653429,3696,202511202512,50,0.04,50,0.02,D,,26,322,CZE,Czech Republic,,,NETFLIX VOD,,,Czech Republic (OSA) General & Broadcasting,Netflix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095187,Elsewhere,Thomas/Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,168,202601202601,0,0.67,50,0.34,F,AdRev,26,382,USA,United States of America,"Thomas Trueman, PRS|Stuart Thomas, PRS",GX5CJ2100324,APA052 LUSHTRONICA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6071131,Gearing Up,Thomas,MCPS,MCPS,1,Mechanicals,Mechanical,TOP GEAR (2002),0,202501202506,100,2.67,50,1.34,D,,25,3568,IRL,Ireland,,,"Rte Television Including Rte 1, Rte 2 And Non-Ephe",,,Irish Blanket,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6071437,Kora,Trueman,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.01,50,0.01,F,AdRev,26,538,USA,United States of America,"Thomas Trueman, PRS",GX5CJ2100025,APA005 SHAPES,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6095602,Mystic Chill,Thomas,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202512202512,0,0.06,50,0.03,F,AdRev,26,276,USA,United States of America,"Robert Thomas, PRS",GX5CJ2100327,APA053 SERVE CHILLED,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6070605,Closing In,Thomas,KONG,Konga                               -for,5,Synchronization,Sync.,,6,202507202512,0,0.1,50,0.05,F,Konga Music,26,820,PRT,Portugal,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6166852,Creepy Hollow,Groves,MCPS,MCPS,35,Streaming Mechanical,Digital/New Media,,140,202403202403,100,0.01,50,0.01,D,,26,322,GBR,United Kingdom,Lee Groves,GX5CJ2100487,,,,Spotify Residual,Spotify
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6086755,Amber Warning,Coupe/Downes,MUTK,Muzikotek,4,Performance,Performance,,0,202510202512,0,0.19,50,0.1,F,Muzikotek,26,735,TUR,Turkey,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6087562,Exaption,Groves,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,0,202602202602,0,0.27,50,0.14,F,AdRev,26,538,USA,United States of America,"Lee Groves, PRS",GX5CJ2100154,APA026 TEXTURALISM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131337,Apache Music (PM),131337,Apache Music (PM),6108013,Lunar Poison,Coupe/Downes,AUMI,AdRev,44,Video Streaming Sync,Digital/New Media,,508,202601202601,0,2.91,50,1.46,F,AdRev,26,382,USA,United States of America,Richard Friedman,QMSTJ1506468,IMX007 Dangerous Affairs,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
